,0
0,0.99787164
1,0.9980196
2,0.99218667
3,0.9965355
4,0.9948699
5,0.9891985
6,0.9984146
7,0.9984926
8,0.9972848
9,0.99707526
10,0.99459946
11,0.9990211
12,0.9983808
13,0.9989248
14,0.9952056
15,0.9971173
16,0.9928553
17,0.9985542
18,0.9915388
19,0.9954566
20,0.9965323
21,0.9967927
22,0.9962978
23,0.9981112
24,0.99434406
25,0.9981026
26,0.9975447
27,0.99503046
28,0.9982919
29,0.99678415
30,0.9980499
31,0.9933896
32,0.9850661
33,0.9986448
34,0.99316615
35,0.9929622
36,0.99819785
37,0.9949978
38,0.9957973
39,0.99514
40,0.9970722
41,0.99746555
42,0.9964322
43,0.99697137
44,0.99625045
45,0.99289834
46,0.997834
47,0.9970087
48,0.9949223
49,0.99643654
50,0.99792683
51,0.9954836
52,0.9979757
53,0.99739164
54,0.9969855
55,0.9971666
56,0.9944862
57,0.9988775
58,0.9989737
59,0.99144
60,0.99583405
61,0.9982673
62,0.99752426
63,0.99502385
64,0.9959481
65,0.9965028
66,0.9951373
67,0.9924976
68,0.99800336
69,0.9980271
70,0.9970728
71,0.9975415
72,0.99656045
73,0.99864703
74,0.9918054
75,0.99721473
76,0.9956299
77,0.99664557
78,0.99629384
79,0.9992834
80,0.9964891
81,0.9949012
82,0.9975329
83,0.99691135
84,0.9936577
85,0.98975813
86,0.9966062
87,0.9978731
88,0.99777997
89,0.9959613
90,0.9971743
91,0.9924147
92,0.9975951
93,0.9872682
94,0.99829453
95,0.9981527
96,0.9983384
97,0.99831516
98,0.9971882
99,0.99434525
100,0.9944602
101,0.99612623
102,0.9965404
103,0.9984474
104,0.9942131
105,0.9949864
106,0.9965355
107,0.9986449
108,0.9960174
109,0.99907035
110,0.99189305
111,0.9977953
112,0.99755275
113,0.99471277
114,0.99646884
115,0.99265516
116,0.998829
117,0.9973178
118,0.99825436
119,0.9878189
120,0.9888505
121,0.99883205
122,0.9975276
123,0.997754
124,0.9971597
125,0.9978414
126,0.9911702
127,0.99712604
128,0.9983766
129,0.99751955
130,0.9938814
131,0.998064
132,0.99088275
133,0.99902266
134,0.9976311
135,0.9986934
136,0.9928429
137,0.9980494
138,0.99810433
139,0.99348223
140,0.98959106
141,0.99813133
142,0.99789155
143,0.99512285
144,0.99766064
145,0.9967846
146,0.99752384
147,0.9979126
148,0.9952941
149,0.9944671
150,0.99590856
151,0.995975
152,0.99506044
153,0.99809194
154,0.9965183
155,0.99774766
156,0.9941778
157,0.9946386
158,0.99448305
159,0.99589074
160,0.9971435
161,0.9980859
162,0.9984122
163,0.9952391
164,0.9977746
165,0.99798226
166,0.9947928
167,0.99742913
168,0.99530274
169,0.99695677
170,0.99602324
171,0.99810785
172,0.99776405
173,0.9960817
174,0.99670887
175,0.99703324
176,0.99884695
177,0.9981675
178,0.9967483
179,0.9962617
180,0.99404955
181,0.9987609
182,0.99334276
183,0.9951195
184,0.99144685
185,0.99813414
186,0.9985707
187,0.99353445
188,0.9910276
189,0.99511
190,0.99221915
191,0.99750805
192,0.99180573
193,0.99724764
194,0.99259585
195,0.9985904
196,0.98946375
197,0.9966382
198,0.9950887
199,0.99805087
200,0.99493533
201,0.99785715
202,0.9967326
203,0.99683625
204,0.9987878
205,0.9970594
206,0.99539596
207,0.9958424
208,0.9967312
209,0.9984717
210,0.99734473
211,0.994898
212,0.9959757
213,0.99558973
214,0.9980668
215,0.9979634
216,0.9966472
217,0.997134
218,0.99672747
219,0.994076
220,0.9857362
221,0.9958523
222,0.9986788
223,0.9965754
224,0.9973017
225,0.9940415
226,0.9959402
227,0.9968905
228,0.98498183
229,0.99734014
230,0.99855447
231,0.9960959
232,0.9980824
233,0.9960961
234,0.99719757
235,0.99739826
236,0.99715596
237,0.9934221
238,0.99595594
239,0.9981048
240,0.99374187
241,0.9953915
242,0.99855274
243,0.9975028
244,0.9982103
245,0.99640244
246,0.9962638
247,0.99658185
248,0.99251735
249,0.99510723
250,0.991495
251,0.9970109
252,0.99784595
253,0.9970244
254,0.99840105
255,0.9988471
256,0.99832684
257,0.9927569
258,0.9977551
259,0.99115837
260,0.9889336
261,0.99409825
262,0.9960397
263,0.99508756
264,0.99821275
265,0.9973354
266,0.9971196
267,0.9982701
268,0.9977592
269,0.9947987
270,0.99617493
271,0.9960281
272,0.9974688
273,0.99835104
274,0.9981681
275,0.99733967
276,0.9915672
277,0.99640054
278,0.9976207
279,0.9977367
280,0.9982629
281,0.9973324
282,0.9970533
283,0.99775434
284,0.9982531
285,0.99678314
286,0.99743915
287,0.99326384
288,0.99667025
289,0.9957217
290,0.99764484
291,0.99714816
292,0.9955031
293,0.9821727
294,0.9964474
295,0.9928107
296,0.99401367
297,0.9967165
298,0.99753046
299,0.99787885
300,0.99692714
301,0.9986013
302,0.9933624
303,0.99820447
304,0.99847233
305,0.99871
306,0.9933488
307,0.996712
308,0.9968199
309,0.9976519
310,0.9970854
311,0.9943307
312,0.99714065
313,0.9899157
314,0.99692315
315,0.9958132
316,0.9946577
317,0.99752486
318,0.9975745
319,0.9943667
320,0.9983874
321,0.993254
322,0.99783516
323,0.99711454
324,0.9966417
325,0.9990094
326,0.9959121
327,0.99802697
328,0.9968369
