,0
0,0.99847686
1,0.99500483
2,0.9931993
3,0.99592614
4,0.9934956
5,0.99129903
6,0.9986306
7,0.9982802
8,0.99428064
9,0.99699783
10,0.99603975
11,0.9979298
12,0.99757767
13,0.9967607
14,0.99388844
15,0.9964066
16,0.99146736
17,0.99815804
18,0.9934931
19,0.9949792
20,0.99449944
21,0.9914677
22,0.99711597
23,0.9970632
24,0.9955256
25,0.9973197
26,0.99662006
27,0.99587595
28,0.99590385
29,0.99700516
30,0.9977808
31,0.98949796
32,0.9860054
33,0.9972366
34,0.99454457
35,0.99045765
36,0.99746585
37,0.9954469
38,0.99588144
39,0.9927408
40,0.9951427
41,0.9976264
42,0.9956279
43,0.9955939
44,0.9975619
45,0.9932298
46,0.9967467
47,0.99412566
48,0.9960098
49,0.99557567
50,0.99783736
51,0.99368507
52,0.998657
53,0.99742115
54,0.9974365
55,0.99470687
56,0.99421394
57,0.9971874
58,0.9979064
59,0.99400485
60,0.9957021
61,0.99707884
62,0.99748784
63,0.9954987
64,0.9939614
65,0.99518645
66,0.99567664
67,0.99568766
68,0.99768645
69,0.9953336
70,0.9974857
71,0.9952734
72,0.9966728
73,0.99845266
74,0.99308157
75,0.99755794
76,0.99516207
77,0.9967873
78,0.99648744
79,0.9975872
80,0.9948741
81,0.9954975
82,0.998254
83,0.99565417
84,0.99392045
85,0.9907767
86,0.996247
87,0.9971761
88,0.9971286
89,0.99294806
90,0.99770564
91,0.99477845
92,0.9973449
93,0.98757225
94,0.99652123
95,0.99476355
96,0.99884856
97,0.99880064
98,0.99561226
99,0.9948481
100,0.9948998
101,0.99531496
102,0.99801975
103,0.9974668
104,0.99639666
105,0.99640554
106,0.99654007
107,0.99671566
108,0.99459773
109,0.99716425
110,0.9908334
111,0.99822766
112,0.99844474
113,0.9926965
114,0.9952318
115,0.99320394
116,0.99727035
117,0.9965438
118,0.99856997
119,0.9902381
120,0.98795
121,0.998496
122,0.99652165
123,0.9969077
124,0.9966825
125,0.9956698
126,0.9956289
127,0.99736065
128,0.99731815
129,0.9970039
130,0.9949833
131,0.99784863
132,0.9898787
133,0.99882483
134,0.99517614
135,0.9977906
136,0.9903186
137,0.99704903
138,0.99696356
139,0.99171716
140,0.98951
141,0.9984205
142,0.99637514
143,0.9958126
144,0.9965717
145,0.9929479
146,0.9964585
147,0.99721307
148,0.99662656
149,0.99332875
150,0.9929661
151,0.9941475
152,0.99442166
153,0.99376154
154,0.996354
155,0.9958439
156,0.9928097
157,0.99258643
158,0.9863906
159,0.9958409
160,0.9960755
161,0.998196
162,0.9973049
163,0.9959768
164,0.9961645
165,0.9975152
166,0.9947523
167,0.99726665
168,0.99538404
169,0.9966912
170,0.995143
171,0.9977359
172,0.9972766
173,0.9954794
174,0.9971065
175,0.99763453
176,0.998507
177,0.9986738
178,0.9920295
179,0.99619925
180,0.9917868
181,0.9979568
182,0.9931906
183,0.9970012
184,0.99494636
185,0.9969504
186,0.99759126
187,0.99357516
188,0.9955497
189,0.995429
190,0.99289495
191,0.9969759
192,0.98637515
193,0.9977329
194,0.990495
195,0.9977607
196,0.9886266
197,0.99521065
198,0.9970563
199,0.99729955
200,0.99742466
201,0.99840355
202,0.9957552
203,0.99584824
204,0.99725944
205,0.9969975
206,0.990992
