,0
0,0.99481726
1,0.9962212
2,0.99825233
3,0.99632883
4,0.9922868
5,0.99467945
6,0.9922669
7,0.99849313
8,0.99923325
9,0.9985809
10,0.99813545
11,0.99816644
12,0.9973912
13,0.9988102
14,0.9965117
15,0.9975931
16,0.9946912
17,0.9964032
18,0.9959293
19,0.998536
20,0.9975025
21,0.99955255
22,0.99924546
23,0.9983528
24,0.998323
25,0.9965261
26,0.9979871
27,0.9978083
28,0.998535
29,0.99858457
30,0.9964517
31,0.99905825
32,0.9990882
33,0.9975664
34,0.9983247
35,0.9938596
36,0.99707204
37,0.9954228
38,0.9980963
39,0.9990069
40,0.997188
41,0.99890757
42,0.9981946
43,0.99850637
44,0.99856335
45,0.9965421
46,0.9978935
47,0.99887305
48,0.9988784
49,0.9945691
50,0.99869287
51,0.9990241
52,0.9956376
53,0.9952133
54,0.9950441
55,0.9992337
56,0.9965067
57,0.9989763
58,0.9987307
59,0.99426264
60,0.9978272
61,0.998633
62,0.9993344
63,0.9991346
64,0.99913394
65,0.99449915
66,0.99752134
67,0.9988825
68,0.9985916
69,0.9948583
70,0.9980384
71,0.9976626
72,0.9958808
73,0.9989529
74,0.997968
75,0.99859357
76,0.9983893
77,0.9978692
78,0.9967177
79,0.9985954
80,0.9992761
81,0.99711233
82,0.99502945
83,0.9980287
84,0.99652475
85,0.99783653
86,0.9950599
87,0.9976556
88,0.9982426
89,0.99692565
90,0.99768955
91,0.99564886
92,0.9987751
93,0.99845135
94,0.9967026
95,0.9988704
96,0.9970827
97,0.99747026
98,0.9953223
99,0.99817336
100,0.99759626
101,0.9966403
102,0.99536526
103,0.9984599
104,0.9982981
105,0.9963079
106,0.9950825
107,0.9985622
108,0.99761
109,0.99430656
110,0.9983373
111,0.99886286
112,0.9978354
113,0.998625
114,0.99576896
115,0.9983684
116,0.99581534
117,0.9978853
118,0.9980765
119,0.99623215
120,0.9982541
121,0.9971675
122,0.99876153
123,0.99777746
124,0.99724996
125,0.9987872
126,0.99838537
127,0.9930639
128,0.998152
129,0.99874145
130,0.99735934
131,0.9982047
132,0.9951935
133,0.9989169
134,0.9965708
135,0.9977483
136,0.9973245
137,0.9972212
138,0.9991956
139,0.9980434
140,0.9973558
141,0.99836904
142,0.99769044
143,0.99807215
144,0.99887574
145,0.99731356
146,0.9961395
147,0.99796885
148,0.99837464
149,0.990635
150,0.9991316
151,0.99740815
152,0.9984241
153,0.99411273
154,0.99819136
155,0.9988823
156,0.99330723
157,0.9956356
158,0.99861
159,0.9981524
160,0.99892396
161,0.99879086
162,0.99838966
163,0.9944474
164,0.9992155
165,0.9981178
166,0.99667656
167,0.99873024
168,0.9976898
169,0.9961889
170,0.99501354
171,0.99544734
172,0.99479663
173,0.99909455
174,0.99783725
175,0.99701613
176,0.9979635
177,0.99848074
178,0.9966747
179,0.9989312
180,0.99863595
181,0.9961696
182,0.99853915
183,0.9988559
184,0.9985575
185,0.99840605
186,0.98392123
187,0.9986111
188,0.998453
189,0.9992723
190,0.9981497
191,0.99851054
192,0.99901104
193,0.99797535
194,0.9977537
195,0.9984371
196,0.9986671
197,0.98727304
198,0.9976008
199,0.99623376
200,0.9970672
201,0.9967212
202,0.99762046
203,0.9944348
204,0.9991775
205,0.9947913
206,0.99864584
207,0.9992787
208,0.9953998
209,0.9993384
210,0.99734956
211,0.99846053
212,0.9950878
213,0.99855256
214,0.9987822
215,0.9973351
216,0.99809194
217,0.9949285
218,0.99745846
219,0.9988248
220,0.99527305
221,0.9976767
222,0.9988625
223,0.99819505
224,0.99824387
225,0.99340284
226,0.99901956
227,0.9988325
228,0.9989856
229,0.9978352
230,0.99369824
231,0.9980698
232,0.9963115
233,0.998008
234,0.9967445
235,0.99882793
236,0.9951865
237,0.995218
238,0.99798506
239,0.99897254
240,0.99792683
241,0.9988539
242,0.9979097
243,0.9994248
244,0.9987545
245,0.9983496
246,0.9936855
247,0.995404
248,0.9945687
249,0.9989208
250,0.99676776
251,0.9985412
252,0.9980055
253,0.99847233
254,0.99694496
255,0.9970194
256,0.997743
257,0.99371314
258,0.99856716
259,0.9982073
260,0.9986463
261,0.99804753
262,0.9964693
263,0.99682736
264,0.99577224
265,0.99746734
266,0.99840105
267,0.99712604
268,0.99857193
269,0.9950336
270,0.9969245
271,0.9987742
272,0.998391
273,0.99872553
274,0.99587286
275,0.9984084
276,0.9976744
277,0.9972971
278,0.99702734
279,0.99377424
280,0.9988347
281,0.9988101
282,0.9961572
283,0.9965561
284,0.9964715
285,0.99840444
286,0.9977162
287,0.9973649
288,0.9976203
289,0.99445575
290,0.99904335
291,0.9939923
292,0.9983115
293,0.99477166
294,0.9985524
295,0.99399865
296,0.994403
297,0.99856144
298,0.99808
299,0.99656093
300,0.9964664
301,0.9964902
302,0.9992006
303,0.99557835
304,0.9982383
305,0.997897
306,0.9972885
307,0.9855254
308,0.9993673
309,0.99852973
310,0.99831074
311,0.9988395
312,0.9986702
313,0.9976407
314,0.9980575
315,0.99511784
316,0.9988573
317,0.99654555
318,0.99759334
319,0.99736434
320,0.99883574
321,0.99757636
322,0.99893075
323,0.9987137
324,0.999147
325,0.9893062
326,0.9978166
327,0.99763864
328,0.9990616
329,0.99884856
330,0.99782425
331,0.99578595
332,0.99880767
333,0.9980156
334,0.99839514
335,0.9976889
336,0.9952327
337,0.995993
338,0.9990646
339,0.99744314
340,0.9979774
341,0.9978625
342,0.99873
343,0.99856293
344,0.99399143
345,0.99547386
346,0.99779534
347,0.9898924
348,0.99775785
349,0.9929038
350,0.9984849
351,0.9979353
352,0.9969994
353,0.99645185
354,0.99825233
355,0.99696463
356,0.9970219
357,0.9987121
358,0.997956
359,0.99858123
360,0.99808204
361,0.99541986
362,0.99876815
363,0.99889183
364,0.9973737
365,0.9991221
366,0.99946266
367,0.9987855
368,0.9986338
369,0.99839264
370,0.99276143
371,0.9964675
372,0.9965131
373,0.99734694
374,0.9980842
375,0.9977777
376,0.99806637
377,0.9988384
378,0.99795073
379,0.9967434
380,0.9982798
381,0.99804956
382,0.99554753
383,0.99696773
384,0.9973637
385,0.9903457
386,0.99895823
387,0.99772066
388,0.9981253
389,0.9987051
390,0.9983787
391,0.99671113
392,0.9984516
393,0.9980077
394,0.9987279
395,0.9937458
396,0.99936074
397,0.9964459
398,0.9980548
399,0.9956397
400,0.9990638
401,0.9991281
402,0.9993831
403,0.99897134
404,0.9977165
405,0.9977218
406,0.99733675
407,0.99284893
408,0.99897605
409,0.99826616
410,0.9973205
411,0.99843985
412,0.99761015
413,0.9984847
414,0.998939
415,0.998622
416,0.9883318
417,0.998565
418,0.995867
419,0.9979176
420,0.9986274
421,0.99763185
422,0.99616474
423,0.9928065
424,0.9990826
425,0.99966055
426,0.9985097
427,0.9964474
428,0.9984725
429,0.9984505
430,0.9988625
431,0.9973265
432,0.9949395
433,0.99889886
434,0.99327517
435,0.996749
436,0.99780065
437,0.99788195
438,0.9976491
439,0.9983212
440,0.9960257
441,0.99787945
442,0.99686956
443,0.99672997
444,0.99673265
445,0.9986229
446,0.99841535
447,0.99770904
448,0.9986088
449,0.99735093
450,0.99882114
451,0.9976889
452,0.9972481
453,0.9981966
454,0.995964
455,0.99583435
456,0.9981309
457,0.9982174
458,0.9988476
459,0.99411863
460,0.99371004
461,0.99847287
462,0.99550784
463,0.9953378
464,0.999304
465,0.99545527
466,0.9982304
467,0.99789727
468,0.99692196
469,0.9963801
470,0.9956969
471,0.99823993
472,0.9881207
473,0.99837214
474,0.9939966
475,0.9978764
476,0.99739635
477,0.9987149
478,0.99787307
479,0.9985863
480,0.99702215
481,0.99801177
482,0.9977496
483,0.9980315
484,0.99572116
485,0.9988173
486,0.998728
487,0.9968195
488,0.9980345
489,0.9981485
490,0.9951962
491,0.9963962
492,0.9970884
493,0.99850935
494,0.99477863
495,0.99349827
496,0.99911517
497,0.9978212
498,0.9985391
499,0.9969307
500,0.99501437
501,0.99497586
502,0.99742264
503,0.99781615
504,0.9991515
505,0.99817324
506,0.9988612
507,0.9983704
508,0.996732
509,0.9980022
510,0.99727345
511,0.99906963
512,0.99450636
513,0.9971902
514,0.99916106
515,0.9985565
516,0.9946996
517,0.9949159
518,0.9960972
519,0.99654067
520,0.9970651
521,0.9984059
522,0.9983699
523,0.99870026
524,0.9985738
525,0.9972969
526,0.9813023
527,0.99692607
528,0.99841875
529,0.9991383
530,0.9990586
531,0.9982915
532,0.99140847
533,0.9981249
534,0.997772
535,0.9975029
536,0.9987572
537,0.9987286
538,0.9984416
539,0.9941624
540,0.99801475
541,0.9982677
542,0.98873186
543,0.99820995
544,0.99680984
545,0.9976526
546,0.99710816
547,0.9975802
548,0.9974752
549,0.99692297
550,0.986425
551,0.9993091
552,0.99415183
553,0.998212
554,0.9957257
555,0.99714
556,0.9970668
557,0.9954102
558,0.99830556
559,0.9985583
560,0.9989767
561,0.99397725
562,0.99939233
563,0.99798477
564,0.9900865
565,0.99641645
566,0.9985416
567,0.9986397
568,0.9992177
569,0.99865496
570,0.9975013
571,0.9961974
572,0.9978406
573,0.9953255
574,0.99860847
575,0.99764097
576,0.99825877
577,0.997227
578,0.989755
579,0.99820554
580,0.9962729
581,0.99780476
582,0.99922514
583,0.99776566
584,0.9958674
585,0.9964585
586,0.9939551
587,0.9977496
588,0.9980752
589,0.9967755
590,0.99832124
591,0.9981773
592,0.99878156
593,0.9986471
594,0.99839866
595,0.99710816
596,0.9967848
597,0.99912953
598,0.9966191
599,0.9989363
600,0.99798006
601,0.9987979
602,0.9980508
603,0.99802613
604,0.9960581
605,0.99891144
606,0.9948966
607,0.9964693
608,0.9984032
609,0.9989337
610,0.9986897
611,0.994501
612,0.9979201
613,0.99760467
614,0.9977918
615,0.9904251
616,0.998394
617,0.99909693
618,0.9987762
619,0.99589247
620,0.9986785
621,0.99865556
622,0.9981257
623,0.9964904
624,0.996245
625,0.9978629
626,0.99617213
627,0.99780005
628,0.9940567
629,0.9977796
630,0.99856055
631,0.99690527
632,0.9982448
633,0.9990093
634,0.9974214
635,0.99575067
636,0.9975369
637,0.9990957
638,0.99450195
639,0.9987027
640,0.9993637
641,0.9977692
642,0.9957134
643,0.9985026
644,0.999178
645,0.9942188
646,0.99892634
647,0.9974998
648,0.99896735
649,0.9986219
650,0.99919707
651,0.99840516
652,0.99500954
653,0.99215084
654,0.9995022
655,0.99847037
656,0.99855876
657,0.997646
658,0.997446
659,0.99673945
660,0.9956051
661,0.9977844
662,0.9975884
663,0.9975512
664,0.99809384
