,0
0,0.9938753
1,0.99780005
2,0.998362
3,0.9969261
4,0.99359345
5,0.99497175
6,0.99399453
7,0.9987793
8,0.9987653
9,0.9979385
10,0.9959773
11,0.99702007
12,0.9941917
13,0.99856395
14,0.99621534
15,0.9987716
16,0.99525434
17,0.99580145
18,0.99809927
19,0.9958655
20,0.9972637
21,0.9988403
22,0.9985192
23,0.9987659
24,0.9975474
25,0.9949221
26,0.9985406
27,0.9959968
28,0.99831164
29,0.99891394
30,0.9959607
31,0.99848694
32,0.99854016
33,0.9966559
34,0.9983386
35,0.9963851
36,0.9962496
37,0.99749833
38,0.99831706
39,0.9985823
40,0.9976738
41,0.99870044
42,0.9963518
43,0.9974179
44,0.9970286
45,0.9968744
46,0.99832124
47,0.9981847
48,0.9984217
49,0.9966856
50,0.9981676
51,0.9980723
52,0.99715906
53,0.99625844
54,0.9963627
55,0.99905765
56,0.99515367
57,0.9985251
58,0.99705684
59,0.99683625
60,0.99804837
61,0.99764264
62,0.99870354
63,0.9982466
64,0.99871993
65,0.9972596
66,0.99598044
67,0.99907625
68,0.99912405
69,0.99649704
70,0.99779576
71,0.99808
72,0.9944103
73,0.9982386
74,0.9971372
75,0.99839866
76,0.99758273
77,0.99763227
78,0.9968262
79,0.99875885
80,0.9987525
81,0.9953886
82,0.9952243
83,0.9968034
84,0.9974144
85,0.9962257
86,0.9960983
87,0.9962704
88,0.9979233
89,0.99678624
90,0.99745554
91,0.99431944
92,0.9988136
93,0.99741024
94,0.99608856
95,0.9984429
96,0.9956346
97,0.9962922
98,0.98583317
99,0.99691457
100,0.9969946
101,0.9980673
102,0.9954621
103,0.998133
104,0.99599314
105,0.99702746
106,0.9956222
107,0.99588865
108,0.99683803
109,0.9934055
110,0.9975112
111,0.99782073
112,0.9967205
113,0.9975631
114,0.99749345
115,0.9980977
116,0.9962235
117,0.9969977
118,0.9980926
119,0.9959494
120,0.9989799
121,0.9968376
122,0.9984776
123,0.99736136
124,0.9971041
125,0.999112
126,0.9989541
127,0.9930538
128,0.99806345
129,0.99853307
130,0.99684423
131,0.99805355
132,0.9952506
133,0.99836284
134,0.9963426
135,0.9970219
136,0.99769425
137,0.99735665
138,0.99873567
139,0.995603
140,0.9962015
141,0.99878323
142,0.9962289
143,0.9980626
144,0.99814916
145,0.9964057
146,0.99503773
147,0.9982828
148,0.99520206
149,0.99119526
150,0.99803656
151,0.9966799
152,0.9987478
153,0.9941955
154,0.99758637
155,0.9977618
156,0.9932561
157,0.9931284
158,0.9987383
159,0.9987431
160,0.9977
161,0.99783504
162,0.9982101
163,0.9954135
164,0.99914217
165,0.9983264
166,0.9975894
167,0.9977952
168,0.9977914
169,0.99412
170,0.99736905
171,0.99670374
172,0.99446565
173,0.99754673
174,0.998044
175,0.99582464
176,0.9988829
177,0.99781895
178,0.99406826
179,0.99885
180,0.9992185
181,0.9980405
182,0.9955651
183,0.9985091
184,0.9983167
185,0.99703866
186,0.9867876
187,0.99856293
188,0.99727243
189,0.998698
190,0.99780774
191,0.99687415
192,0.9989727
193,0.99710816
194,0.99809676
195,0.99902713
196,0.9971249
197,0.9933322
198,0.996898
199,0.9958965
200,0.9970455
201,0.99517643
202,0.99817806
203,0.99367493
204,0.99728876
205,0.9955455
206,0.99847937
207,0.9991455
208,0.99540895
209,0.9984675
210,0.9970275
211,0.997895
212,0.9943738
213,0.99684167
214,0.9988515
215,0.99478716
216,0.9970589
217,0.9970186
218,0.99781704
219,0.9988128
220,0.9941382
221,0.9974295
222,0.99858755
223,0.99714273
224,0.99814016
225,0.993424
226,0.9990145
227,0.9984536
228,0.9981755
229,0.995892
230,0.99718034
231,0.9970908
232,0.99766827
233,0.9990129
234,0.99756294
235,0.99856865
236,0.9968043
237,0.9954697
238,0.9972627
239,0.9989759
240,0.9980039
241,0.9977955
242,0.9979556
243,0.9992949
244,0.9974235
245,0.9977765
246,0.99216676
247,0.9974709
248,0.9929924
249,0.9990355
250,0.99708724
251,0.9982043
252,0.9980517
253,0.9973466
254,0.9964076
255,0.99537337
256,0.9979039
257,0.9970321
258,0.9985966
259,0.99766475
260,0.9970224
261,0.9980606
262,0.997084
263,0.99578345
264,0.9978005
265,0.9970708
266,0.99868387
267,0.9968984
268,0.99785244
269,0.9976173
270,0.99751663
271,0.9983486
272,0.99552214
273,0.99777895
274,0.9960183
275,0.9962518
276,0.995987
277,0.997944
278,0.99866843
279,0.9938763
280,0.99756646
281,0.9989619
282,0.9959891
283,0.9967581
284,0.99789315
285,0.9970103
286,0.9973002
287,0.99618644
288,0.99729073
289,0.9968193
290,0.9983441
291,0.9949596
292,0.9977983
293,0.9949194
294,0.99859124
295,0.9958455
296,0.99574375
297,0.99696237
298,0.9973322
299,0.9960575
300,0.9956856
301,0.9966253
302,0.9987932
303,0.9959901
304,0.99764836
305,0.99834174
306,0.9982463
307,0.98787767
308,0.99864167
309,0.9964533
310,0.9982464
311,0.99776524
312,0.99767905
313,0.9962462
314,0.9970483
315,0.9987684
316,0.9979001
317,0.9972986
318,0.9970313
319,0.9983494
320,0.9982149
321,0.996653
322,0.99912125
323,0.99892247
324,0.99851304
325,0.9929535
326,0.99813664
327,0.9973112
328,0.99880004
329,0.99874556
330,0.997264
331,0.9947766
332,0.99781364
333,0.9972818
334,0.99885726
335,0.99877
336,0.9974144
337,0.9966518
338,0.9985753
339,0.99720496
340,0.9972639
341,0.9969324
342,0.9972112
343,0.99859786
344,0.99549913
345,0.9950973
346,0.9981911
347,0.98252434
348,0.9968628
349,0.99795216
350,0.9980922
351,0.99705225
352,0.99584526
353,0.99764943
354,0.998476
355,0.9962642
356,0.9979675
357,0.99884987
358,0.9960172
359,0.9988151
360,0.997686
361,0.99660194
362,0.99862456
363,0.9975335
364,0.9966828
365,0.99861234
366,0.99905723
367,0.9976986
368,0.99860877
369,0.99859375
370,0.9937107
371,0.99738246
372,0.9958713
373,0.9970283
374,0.9972991
375,0.9985202
376,0.9981249
377,0.99818236
378,0.99806046
379,0.9961802
380,0.99779576
381,0.9966952
382,0.9967686
383,0.9972591
384,0.9953531
385,0.99004346
386,0.99899983
387,0.99774176
388,0.9977311
389,0.99791986
390,0.99859476
391,0.9955345
392,0.99807465
393,0.99762523
394,0.9978727
395,0.9911088
396,0.9989434
397,0.9984572
398,0.9975783
399,0.9985133
400,0.99826664
401,0.99926734
402,0.99870896
403,0.998009
404,0.9908362
405,0.9962872
406,0.9969298
407,0.99300665
408,0.99839693
409,0.99810797
410,0.9927366
411,0.99873227
412,0.9972488
413,0.9987024
414,0.9986541
415,0.99833304
416,0.9877598
417,0.99815845
418,0.9967926
419,0.99780524
420,0.9985268
421,0.9970976
422,0.99542326
423,0.9953468
424,0.9986168
425,0.9991432
426,0.9978627
427,0.99815136
428,0.9977948
429,0.9964142
430,0.996933
431,0.99741274
432,0.99401623
433,0.9982475
434,0.9940753
435,0.9983406
436,0.9978826
437,0.9977545
438,0.9984208
439,0.99780446
440,0.99572355
441,0.9979454
442,0.99756163
443,0.99768776
444,0.99773526
445,0.9987067
446,0.99679434
447,0.99752784
448,0.9972789
449,0.9943341
450,0.99875903
451,0.9967503
452,0.99732
453,0.9975855
454,0.9973478
455,0.99524367
456,0.99731755
457,0.998037
458,0.9984295
459,0.99643534
460,0.9944218
461,0.99871165
462,0.9963398
463,0.9962236
464,0.99833184
465,0.99503195
466,0.997965
467,0.9973754
468,0.998074
469,0.99705935
470,0.99696565
471,0.99653566
472,0.9910948
473,0.9987884
474,0.9936222
475,0.9966224
476,0.9969615
477,0.99808145
478,0.9982579
479,0.99776196
480,0.9973183
481,0.9960623
482,0.99744207
483,0.9977022
484,0.9963315
485,0.99873835
486,0.99790436
487,0.99835104
488,0.99686015
489,0.998277
490,0.99734646
491,0.9944114
492,0.99604654
493,0.99752945
494,0.99475473
495,0.99572116
496,0.99898803
497,0.9981621
498,0.9974992
499,0.9967126
500,0.9941326
501,0.99528444
502,0.99730307
503,0.9973854
504,0.99778986
505,0.9972276
506,0.99610686
507,0.9986068
508,0.99490464
509,0.9977943
510,0.99720246
511,0.9975698
512,0.9964194
513,0.9980831
514,0.99906737
515,0.998627
516,0.99683625
517,0.99470794
518,0.9956953
519,0.99459475
520,0.99793017
521,0.9979949
522,0.995711
523,0.997871
524,0.998045
525,0.9960725
526,0.9827113
527,0.99796355
528,0.9980117
529,0.99903315
530,0.9982906
531,0.9980301
532,0.9940887
533,0.99809796
534,0.998196
535,0.9984878
536,0.99805826
537,0.9977115
538,0.9986239
539,0.9888997
540,0.9966518
541,0.9985399
542,0.9854013
543,0.9980616
544,0.99414355
545,0.99726707
546,0.997715
547,0.997789
548,0.9963855
549,0.99648917
550,0.98832446
551,0.9991372
552,0.993991
553,0.99807817
554,0.99638945
555,0.99790996
556,0.9952018
557,0.996294
558,0.9991567
559,0.9988889
560,0.99830264
561,0.98836255
562,0.99913514
563,0.9982401
564,0.9970856
565,0.99745643
566,0.998685
567,0.9976426
568,0.99891996
569,0.9981946
570,0.9971893
571,0.9966021
572,0.9984441
573,0.9950858
574,0.9973534
575,0.99788445
576,0.99789876
577,0.9953943
578,0.99505
579,0.9973933
580,0.99664825
581,0.9985443
582,0.9984706
583,0.9974639
584,0.9967092
585,0.9978735
586,0.99568725
587,0.99842495
588,0.9982347
589,0.9973335
590,0.9984032
591,0.9980489
592,0.99855006
593,0.998648
594,0.998216
595,0.9967624
596,0.9956223
597,0.9985391
598,0.99643475
599,0.99801856
600,0.997038
601,0.9992145
602,0.99826604
603,0.99759334
604,0.9972706
605,0.9989856
606,0.9959047
607,0.99758625
608,0.9978435
609,0.99809223
610,0.99881816
611,0.99617344
612,0.9991418
613,0.99670494
614,0.99697703
615,0.99040586
616,0.997929
617,0.99873424
618,0.99821985
619,0.9956135
620,0.99895036
621,0.99877244
622,0.9974519
623,0.995719
624,0.99732566
625,0.9953837
626,0.9965489
627,0.99801975
628,0.9960747
629,0.9982879
630,0.99888146
631,0.99820554
632,0.9984824
633,0.9979972
634,0.9982217
635,0.99794865
636,0.9977136
637,0.9984779
638,0.9952396
639,0.99822605
640,0.9987642
641,0.99701077
642,0.9979749
643,0.99847066
644,0.9986144
645,0.99487656
646,0.9972088
647,0.9988672
648,0.9981452
649,0.9983757
650,0.9988347
651,0.9976689
652,0.9935586
653,0.99599636
654,0.9986283
655,0.9972491
656,0.9979173
657,0.9969551
658,0.9980092
659,0.9965324
660,0.9965617
661,0.9980854
662,0.99850535
663,0.9974258
664,0.9967873
665,0.9985768
666,0.99436885
667,0.99857366
668,0.9974539
669,0.9971157
670,0.9900569
671,0.9973265
672,0.99359137
673,0.99769187
674,0.9880137
675,0.9969844
676,0.9964503
677,0.9908424
678,0.9981443
679,0.9972493
680,0.9988724
681,0.9981104
682,0.99832904
683,0.9979844
684,0.9980406
685,0.9989661
686,0.99881047
687,0.9986407
688,0.9991668
689,0.99829096
690,0.9914257
691,0.9985896
692,0.99884206
693,0.9981659
694,0.9980709
695,0.99872035
696,0.9969886
697,0.99570495
698,0.9990076
699,0.9971318
700,0.9969687
701,0.9983572
702,0.9990516
703,0.99785566
704,0.9987258
705,0.9986378
706,0.9914941
707,0.99614197
708,0.9951575
709,0.99031115
710,0.99647737
711,0.9957553
712,0.99814147
713,0.9979315
714,0.99840236
715,0.99390316
716,0.9985738
717,0.99868023
718,0.9968472
719,0.9959051
720,0.9957789
721,0.9977423
722,0.9928486
723,0.998964
724,0.9977944
725,0.99869305
726,0.9983911
727,0.9987242
728,0.9970956
729,0.9926024
730,0.99929035
731,0.9987362
732,0.9984896
733,0.9971341
734,0.9990901
735,0.99786395
736,0.9983059
737,0.9960225
738,0.9955174
739,0.9981892
740,0.9977679
741,0.9984789
742,0.9981095
743,0.9960792
744,0.9965332
745,0.9978478
746,0.9987788
747,0.99583703
748,0.99617845
749,0.9950507
750,0.99574345
751,0.9971885
752,0.99455446
753,0.9929748
754,0.9976825
755,0.9973955
756,0.997576
757,0.9985058
758,0.9971972
759,0.99813074
760,0.9972301
761,0.9986771
762,0.9911422
763,0.9974397
764,0.99885833
765,0.9983957
766,0.99886
767,0.9976951
768,0.9985663
769,0.99696445
770,0.9988235
771,0.99706364
772,0.9988583
773,0.9959788
774,0.9968489
775,0.9971949
776,0.9983226
777,0.9901997
778,0.99724376
779,0.9978489
780,0.99691737
781,0.9984667
782,0.996881
783,0.9978973
784,0.9979506
785,0.99476457
786,0.9979831
787,0.9979353
788,0.9949595
789,0.9978545
790,0.998428
791,0.99668235
792,0.99814934
793,0.998957
794,0.9989181
795,0.99578464
796,0.99835473
797,0.99739516
798,0.99858475
799,0.99901354
800,0.9953845
801,0.9981386
802,0.9966215
803,0.9983559
804,0.9991248
805,0.9929996
806,0.99893254
807,0.99528617
808,0.9985331
809,0.9967825
810,0.98638874
811,0.99744236
812,0.99839926
813,0.99817264
814,0.9981212
815,0.99784887
816,0.99642336
817,0.9911679
818,0.9954725
819,0.99291945
820,0.9985889
821,0.9978835
822,0.99880046
823,0.9956986
824,0.99615705
825,0.9973041
826,0.9937092
827,0.99734175
828,0.99736637
829,0.99717915
830,0.99712974
831,0.99848175
832,0.9933586
833,0.9974646
834,0.99849665
835,0.99819756
836,0.99747556
837,0.99543166
838,0.99697906
839,0.9979799
840,0.9988975
841,0.990486
842,0.9988695
843,0.99856335
844,0.99733406
845,0.99669755
846,0.9986728
847,0.9991512
848,0.9962733
849,0.99707514
850,0.9982824
851,0.998765
852,0.99895084
853,0.996988
854,0.9977597
855,0.9978133
856,0.9976575
857,0.99882567
858,0.99743783
859,0.9969756
860,0.99802357
861,0.9954975
862,0.9977073
863,0.998032
864,0.98002267
865,0.9972619
866,0.9971622
867,0.9945018
868,0.99754083
869,0.99595994
870,0.9978429
871,0.9968361
872,0.99700457
873,0.9950189
874,0.99894303
875,0.9960451
876,0.9972679
877,0.9962946
878,0.99740267
879,0.99831665
880,0.99719805
881,0.9978656
882,0.99907357
883,0.9989248
884,0.9962103
885,0.99823785
886,0.9980095
887,0.9987539
888,0.9935237
889,0.99714446
890,0.9982664
891,0.99679536
892,0.9981932
893,0.99681896
894,0.99777687
895,0.99725026
896,0.99737054
897,0.99848425
898,0.99695545
899,0.99782556
900,0.99601245
901,0.99020004
902,0.9963383
903,0.9971524
904,0.9988561
905,0.99755365
906,0.99522567
907,0.9980073
908,0.99860734
909,0.9951646
910,0.99619776
911,0.9975241
912,0.9980838
913,0.99812657
914,0.9985018
915,0.9974134
916,0.99749005
917,0.997264
918,0.9986351
919,0.99910015
920,0.9986626
921,0.9968094
922,0.99442446
923,0.998697
924,0.9977694
925,0.9977072
926,0.99792165
927,0.9972266
928,0.9989933
929,0.99800545
930,0.9909735
931,0.9971616
932,0.9987278
933,0.9966336
934,0.9982978
935,0.99277544
936,0.99876744
937,0.9987412
938,0.9942002
939,0.9987422
940,0.9966939
941,0.9978108
942,0.9965876
943,0.99835
944,0.99860513
945,0.99862903
946,0.9988791
947,0.9967329
948,0.9985345
949,0.99865687
950,0.99843806
951,0.997011
952,0.99863875
953,0.9982203
954,0.9971843
955,0.99831396
956,0.9965032
957,0.99694663
958,0.99617445
959,0.99860364
960,0.9989211
961,0.99839157
962,0.9971733
963,0.9988387
964,0.99740213
965,0.9963414
966,0.99845076
967,0.99702024
968,0.99438477
969,0.9968553
970,0.9987165
971,0.9967701
972,0.9977932
973,0.99849075
974,0.9979685
975,0.9981358
976,0.99723524
977,0.9966919
978,0.9949076
979,0.9973325
980,0.99890536
981,0.9973724
982,0.99743384
983,0.9965379
984,0.9989169
985,0.99823594
986,0.9973188
987,0.99876744
988,0.9977148
989,0.9981174
990,0.9972524
991,0.9957892
992,0.99710613
993,0.99694145
994,0.9983274
995,0.9971011
996,0.9957664
997,0.99601907
998,0.9983988
999,0.9961477
1000,0.9979347
1001,0.9964593
1002,0.99940825
1003,0.9977245
1004,0.996823
1005,0.9988558
1006,0.9953315
1007,0.9942883
1008,0.99793804
1009,0.9968833
1010,0.9974361
1011,0.9927095
1012,0.9981907
1013,0.9972621
1014,0.9981522
1015,0.99702275
1016,0.9984543
1017,0.99076855
1018,0.9987143
1019,0.9978215
1020,0.9957381
1021,0.9981949
1022,0.9976815
1023,0.9918221
1024,0.9984849
1025,0.9983766
1026,0.99763626
1027,0.99877596
1028,0.9967186
1029,0.9982453
1030,0.9966294
1031,0.9973707
1032,0.99649656
1033,0.99751574
1034,0.9981506
1035,0.9897802
1036,0.9982354
1037,0.9978721
1038,0.99846953
1039,0.99743885
1040,0.9980705
1041,0.99419063
1042,0.997771
1043,0.99625516
1044,0.9982463
1045,0.9980631
1046,0.99528545
1047,0.99847203
1048,0.99778533
1049,0.996225
1050,0.99253494
1051,0.9976534
1052,0.9981198
1053,0.99913543
1054,0.99288344
1055,0.9980487
1056,0.9960311
1057,0.9959578
1058,0.99636203
1059,0.9976205
1060,0.99778116
1061,0.9978513
1062,0.99881524
1063,0.9965365
1064,0.99903685
1065,0.9974315
1066,0.9957192
1067,0.99485797
1068,0.9964959
1069,0.9990484
1070,0.99561554
1071,0.9983072
1072,0.9972097
1073,0.99671316
1074,0.9984694
1075,0.99635196
1076,0.99852544
1077,0.99483615
1078,0.9978876
1079,0.9950154
1080,0.99785215
1081,0.9970888
1082,0.99823993
1083,0.99902225
1084,0.99885684
1085,0.9945433
1086,0.99739116
1087,0.9964399
1088,0.99745077
1089,0.9984511
1090,0.9964887
1091,0.99794805
1092,0.996168
1093,0.9968994
1094,0.9985134
1095,0.99805415
1096,0.99804646
1097,0.997681
1098,0.9955767
1099,0.99244857
1100,0.9986791
1101,0.99699247
1102,0.9987054
1103,0.9958188
1104,0.9943128
1105,0.99860173
1106,0.9967339
1107,0.99514
1108,0.99766994
1109,0.99435884
1110,0.9982008
1111,0.99817497
1112,0.99653363
1113,0.9964516
1114,0.9981917
1115,0.9989598
1116,0.99823123
1117,0.9980746
1118,0.9956717
1119,0.997067
1120,0.9977909
1121,0.998224
1122,0.9968622
1123,0.9966393
1124,0.99778944
1125,0.9986611
1126,0.9947059
1127,0.9966239
1128,0.9961726
1129,0.997869
1130,0.99860597
1131,0.99758524
1132,0.9980196
1133,0.99771714
1134,0.9964035
1135,0.9964446
1136,0.99732536
1137,0.9966881
1138,0.9959771
1139,0.9978915
1140,0.99640054
1141,0.9971239
1142,0.998128
1143,0.998615
1144,0.99753296
1145,0.9976837
1146,0.9970175
1147,0.99889165
1148,0.99825954
1149,0.99773324
1150,0.991076
1151,0.99817634
1152,0.9972635
1153,0.9972725
1154,0.9987267
1155,0.99677944
1156,0.9972406
1157,0.9966749
1158,0.99856716
1159,0.9951311
1160,0.99900365
1161,0.99843955
1162,0.99197185
1163,0.9964204
1164,0.99863833
1165,0.99902534
1166,0.99849963
1167,0.99843854
1168,0.99523157
1169,0.995086
1170,0.99564743
1171,0.9983486
1172,0.99802744
1173,0.9981669
1174,0.99744433
1175,0.9971109
1176,0.9950507
1177,0.9985074
1178,0.99887896
1179,0.99681866
1180,0.99284273
1181,0.9981378
1182,0.99850345
1183,0.9983369
1184,0.9979968
1185,0.9994222
1186,0.9933374
1187,0.99768937
1188,0.9982709
1189,0.99758536
1190,0.99811846
1191,0.9988714
1192,0.998136
1193,0.9935149
1194,0.9984431
1195,0.9977191
1196,0.9980258
1197,0.998914
1198,0.9961651
1199,0.9956192
1200,0.9977628
1201,0.99868083
1202,0.99894375
1203,0.9988629
1204,0.99503237
1205,0.9982205
1206,0.9978584
1207,0.99865353
1208,0.9959773
1209,0.9981178
1210,0.9988947
1211,0.9949568
1212,0.9982714
1213,0.9976167
1214,0.99804604
1215,0.99763674
1216,0.9963903
1217,0.99557465
1218,0.9963914
1219,0.9949668
1220,0.9983109
1221,0.99087596
1222,0.9990246
1223,0.9979759
1224,0.9981877
1225,0.99605936
1226,0.99762857
1227,0.99832994
1228,0.9894545
1229,0.99463445
1230,0.99798846
1231,0.99814165
1232,0.9976271
1233,0.9977868
1234,0.9976774
1235,0.9983911
1236,0.9973395
1237,0.998322
1238,0.9984655
1239,0.99303454
1240,0.99816996
1241,0.99699795
1242,0.9951876
1243,0.99852836
1244,0.99561846
1245,0.99828416
1246,0.9986794
1247,0.99555767
1248,0.9944145
1249,0.99735826
1250,0.998907
1251,0.9943717
1252,0.9955743
1253,0.99819726
1254,0.9979854
1255,0.9991629
1256,0.99892956
1257,0.99465686
1258,0.9970956
1259,0.9972392
1260,0.99775416
1261,0.99564266
1262,0.99896586
1263,0.9933198
1264,0.9964592
1265,0.9986249
1266,0.9962668
1267,0.9943096
1268,0.9979568
1269,0.9977731
1270,0.9969683
1271,0.99748117
1272,0.99661404
1273,0.9986597
1274,0.9973622
1275,0.99758846
1276,0.9970106
1277,0.99625134
1278,0.9969079
1279,0.99797237
1280,0.99834174
1281,0.9958004
1282,0.99282396
1283,0.9989035
1284,0.9977978
1285,0.9985827
1286,0.99687
1287,0.9974813
1288,0.9981607
1289,0.99728423
1290,0.9989571
1291,0.99858683
1292,0.99813664
1293,0.9981575
1294,0.9961939
1295,0.98743683
1296,0.99797803
1297,0.99725837
1298,0.9971906
1299,0.9981021
1300,0.9980254
1301,0.99786437
1302,0.9979529
1303,0.99887556
1304,0.9982118
1305,0.99394506
1306,0.9985207
1307,0.99803233
1308,0.9982911
1309,0.99534845
1310,0.99588144
1311,0.9957015
1312,0.99824864
1313,0.9977384
1314,0.9968697
1315,0.99647033
1316,0.99763
1317,0.9972113
1318,0.99819714
1319,0.99626523
1320,0.9959415
1321,0.99683523
1322,0.99437654
1323,0.9982641
1324,0.99213594
1325,0.9988325
1326,0.99813443
1327,0.99887925
1328,0.9984859
1329,0.99892557
1330,0.9982604
1331,0.99666464
1332,0.9986415
1333,0.9973121
1334,0.9972629
1335,0.99555844
1336,0.99789315
1337,0.9961552
1338,0.9955992
1339,0.9946481
1340,0.9970172
1341,0.99778247
1342,0.9987002
1343,0.99738204
1344,0.9965039
1345,0.9987632
1346,0.9962053
1347,0.99609494
1348,0.9988995
1349,0.9982081
1350,0.9952081
1351,0.9912296
1352,0.9976677
1353,0.99880075
1354,0.99761534
1355,0.9983183
1356,0.998178
1357,0.9988774
1358,0.998219
1359,0.9968218
1360,0.9933287
1361,0.9987607
1362,0.9974342
1363,0.9978539
1364,0.99791944
1365,0.99743867
1366,0.9898332
1367,0.99369437
1368,0.99799037
1369,0.99801624
1370,0.9963433
1371,0.99888116
1372,0.9962853
1373,0.9945852
1374,0.9976398
1375,0.99898064
1376,0.9966687
1377,0.99465543
1378,0.9965239
1379,0.9953679
1380,0.99094504
1381,0.9972622
1382,0.99785614
1383,0.9981499
1384,0.9968945
1385,0.9980415
1386,0.99842614
1387,0.99862564
