,0
0,0.9811095
1,0.9949138
2,0.9952707
3,0.9942474
4,0.9852628
5,0.98473287
6,0.98916656
7,0.99625754
8,0.9968959
9,0.99564534
10,0.9962474
11,0.99632835
12,0.98913246
13,0.99759024
14,0.9922032
15,0.9966979
16,0.99301195
17,0.9950018
18,0.9942791
19,0.9968977
20,0.99365026
21,0.9977757
22,0.99853224
23,0.99510026
24,0.99439245
25,0.9949325
26,0.9954358
27,0.99136263
28,0.99767584
29,0.99669564
30,0.9925515
31,0.9970879
32,0.9973436
33,0.98846215
34,0.9962609
35,0.9919856
36,0.99022484
37,0.9954487
38,0.9935137
39,0.996841
40,0.9941165
41,0.9946059
42,0.99213666
43,0.9942577
44,0.9947245
45,0.99032205
46,0.99742025
47,0.9964132
48,0.9947883
49,0.9929483
50,0.9975083
51,0.9961577
52,0.99349535
53,0.993406
54,0.99226606
55,0.99678093
56,0.98806167
57,0.9973217
58,0.9970836
59,0.9922012
60,0.9957122
61,0.9969044
62,0.9983307
63,0.9979496
64,0.99814534
65,0.99412656
66,0.99295384
67,0.9971459
68,0.9981877
69,0.98987395
70,0.9963852
71,0.99588823
72,0.992676
73,0.99564064
74,0.9971382
75,0.99719936
76,0.99598265
77,0.9966694
78,0.99256635
79,0.99781376
80,0.9946649
81,0.99553436
82,0.9929532
83,0.9961743
84,0.99374145
85,0.99187964
86,0.9905236
87,0.9954923
88,0.9957689
89,0.9903059
90,0.9958016
91,0.9920721
92,0.99703157
93,0.995116
94,0.99481994
95,0.99737823
96,0.9942846
97,0.99460113
98,0.981254
99,0.995584
100,0.99445206
101,0.99436533
102,0.99281216
103,0.9954457
104,0.9941969
105,0.9943792
106,0.9902476
107,0.99475735
108,0.9932718
109,0.9927667
110,0.9936691
111,0.995097
112,0.9880866
113,0.99635947
114,0.9956454
115,0.99480224
116,0.9920416
117,0.99464583
118,0.9942653
119,0.9914802
120,0.99797535
121,0.9967478
122,0.9983427
123,0.9936813
124,0.996875
125,0.99576354
126,0.99709797
127,0.98692757
128,0.99703985
129,0.9969069
130,0.99179465
131,0.99611044
132,0.9920756
133,0.9949988
134,0.9875157
135,0.99458706
136,0.9944273
137,0.9902903
138,0.9979933
139,0.9960782
140,0.99692076
141,0.99758285
142,0.994265
143,0.99226403
144,0.99596506
145,0.9967128
146,0.99459887
147,0.9967527
148,0.9943889
149,0.9836687
150,0.9979848
151,0.99388546
152,0.99746287
153,0.98588264
154,0.99564064
155,0.99605656
156,0.98180073
157,0.99100155
158,0.9949571
159,0.9969139
160,0.99676394
161,0.9958982
162,0.99479
163,0.99049985
164,0.9968764
165,0.99667245
166,0.9919928
167,0.9957168
168,0.9949332
169,0.9914557
170,0.9923902
171,0.99287236
172,0.9877102
173,0.9943492
174,0.9950017
175,0.99249387
176,0.9959792
177,0.99637055
178,0.9909562
179,0.9973477
180,0.99747646
181,0.99574965
182,0.99587363
183,0.9972975
184,0.99764794
185,0.9967322
186,0.96978736
187,0.9983102
188,0.9948395
189,0.9958479
190,0.9947616
191,0.9962613
192,0.9962549
193,0.99457204
194,0.99440587
195,0.998751
196,0.9958651
197,0.9898259
198,0.99196345
199,0.9930565
200,0.9908435
201,0.99176276
202,0.99343675
203,0.98622245
204,0.99708605
205,0.99468803
206,0.99621516
207,0.9975921
208,0.9880642
209,0.9981871
210,0.99785656
211,0.99239475
212,0.99229157
213,0.997188
214,0.99749213
215,0.9951114
216,0.99600893
217,0.99557644
218,0.995042
219,0.9962373
220,0.9891217
221,0.99262464
222,0.9967592
223,0.9915728
224,0.9957283
225,0.9919988
226,0.99805284
227,0.99651146
228,0.99604
229,0.99571216
230,0.9957733
231,0.9956202
232,0.99523413
233,0.9974839
234,0.99420744
235,0.9970101
236,0.99080235
237,0.9902784
238,0.99492586
239,0.997392
240,0.9969192
241,0.9969663
242,0.9952664
243,0.9977212
244,0.9968069
245,0.9967774
246,0.98174196
247,0.98909605
248,0.9912292
249,0.99674594
250,0.99323004
251,0.9962045
252,0.9965365
253,0.9946004
254,0.9955205
255,0.99482876
256,0.99236876
257,0.9889988
258,0.99672484
259,0.9960259
260,0.99655807
261,0.9936507
262,0.99460495
263,0.9920001
264,0.9938276
265,0.99292475
266,0.99377376
267,0.9941067
268,0.99797136
269,0.9965919
270,0.9942034
271,0.99552846
272,0.99603397
273,0.99721664
274,0.9885511
275,0.99495023
276,0.99360067
277,0.99535125
278,0.99559075
279,0.9875095
280,0.99365103
281,0.9965922
282,0.9875174
283,0.9936819
284,0.9963845
285,0.9966067
286,0.9949523
287,0.9953402
288,0.99365115
289,0.9955693
290,0.99539953
291,0.9785558
292,0.9958934
293,0.99527603
294,0.99539465
295,0.9870793
296,0.99291843
297,0.99575955
298,0.9973317
299,0.9945189
300,0.98570555
301,0.9923427
302,0.99735826
303,0.99204314
304,0.9900076
305,0.9978201
306,0.99576974
307,0.980031
308,0.9962618
309,0.995917
310,0.9949146
311,0.99680096
312,0.9965904
313,0.99223566
314,0.99524754
315,0.99331486
316,0.9967225
317,0.99334764
318,0.9933755
319,0.994367
320,0.9977136
321,0.99617934
322,0.99680585
323,0.9971486
324,0.99775136
325,0.97760564
326,0.9953754
327,0.9961151
328,0.9953429
329,0.9965907
330,0.9952641
331,0.9938172
332,0.9979279
333,0.997473
334,0.9968589
335,0.99007154
336,0.99092335
337,0.98929906
338,0.9980761
339,0.9939836
340,0.9926109
341,0.9951603
342,0.99535596
343,0.99733263
344,0.99339205
345,0.9869284
346,0.9949751
347,0.9731129
348,0.99503595
349,0.9887389
350,0.9947529
351,0.9962129
352,0.9936621
353,0.992012
354,0.9971117
355,0.9930745
356,0.99393886
357,0.99653196
358,0.99429315
359,0.9927847
360,0.9961099
361,0.9921546
362,0.9974248
363,0.99692583
364,0.9949134
365,0.9972592
366,0.99778664
367,0.99639297
368,0.9968967
369,0.99651456
370,0.9864759
371,0.99482644
372,0.9917962
373,0.9939818
374,0.9951389
375,0.9952773
376,0.9966425
377,0.9965744
378,0.99368614
379,0.9935445
380,0.9928216
381,0.9915408
382,0.9918946
383,0.9942487
384,0.99235547
385,0.9806407
386,0.9973153
387,0.99499345
388,0.9962125
389,0.9960195
390,0.99571216
391,0.99077624
392,0.9952606
393,0.99478555
394,0.99663067
395,0.9867531
396,0.99742264
397,0.9955244
398,0.9957006
399,0.99589574
400,0.9973803
401,0.9972878
402,0.99849963
403,0.9968866
404,0.9953104
405,0.99553865
406,0.99431795
407,0.9760268
408,0.9953341
409,0.9962967
410,0.98562884
411,0.99703515
412,0.99645007
413,0.9966122
414,0.9951852
415,0.997542
416,0.98316383
417,0.99404013
418,0.99493784
419,0.9957103
420,0.9969727
421,0.99348474
422,0.99486935
423,0.9833357
424,0.99640155
425,0.9982585
426,0.99719566
427,0.9947924
428,0.99572176
429,0.9942532
430,0.99338937
431,0.9961616
432,0.99155194
433,0.99732476
434,0.98624706
435,0.9955943
